row_0,CAZyme
Aq_sp_Aq107_00001,PF13585.7
Aq_sp_Aq107_00002,PF03938.15
Aq_sp_Aq107_00003,PF08241.13
Aq_sp_Aq107_00005,PF12831.8
Aq_sp_Aq107_00006,PF02130.18
Aq_sp_Aq107_00007,PF13779.7
Aq_sp_Aq107_00008,PF00487.25
Aq_sp_Aq107_00009,PF00749.22
Aq_sp_Aq107_00010,PF01145.26
Aq_sp_Aq107_00012,PF00749.22
Aq_sp_Aq107_00013,PF02152.19
Aq_sp_Aq107_00014,PF01810.19
Aq_sp_Aq107_00015,PF10988.9
Aq_sp_Aq107_00016,PF17876.2
Aq_sp_Aq107_00018,PF02502.19
Aq_sp_Aq107_00019,PF00583.26
Aq_sp_Aq107_00020,PF00595.25
Aq_sp_Aq107_00021,PF00825.19
Aq_sp_Aq107_00022,PF18962.1
Aq_sp_Aq107_00023,PF01433.21
Aq_sp_Aq107_00024,PF00082.23
Aq_sp_Aq107_00025,PF00753.28
Aq_sp_Aq107_00026,PF00999.22
Aq_sp_Aq107_00029,PF13715.7
Aq_sp_Aq107_00030,PF18942.1
Aq_sp_Aq107_00032,COG2374
Aq_sp_Aq107_00033,PF00025.22
Aq_sp_Aq107_00034,PF11276.9
Aq_sp_Aq107_00035,PF00583.26
Aq_sp_Aq107_00036,PF11276.9
Aq_sp_Aq107_00037,PF10652.10
Aq_sp_Aq107_00038,PF01883.20
Aq_sp_Aq107_00039,PF02657.16
Aq_sp_Aq107_00040,PF00155.22
Aq_sp_Aq107_00041,PF00144.25
Aq_sp_Aq107_00042,PF01458.18
Aq_sp_Aq107_00043,PF00005.28
Aq_sp_Aq107_00045,PF01458.18
Aq_sp_Aq107_00046,PF01521.21
Aq_sp_Aq107_00047,PF04397.16
Aq_sp_Aq107_00048,PF07695.12
Aq_sp_Aq107_00050,PF03150.15
Aq_sp_Aq107_00054,PF08309.12
Aq_sp_Aq107_00055,PF18962.1
Aq_sp_Aq107_00058,PF00586.25
Aq_sp_Aq107_00060,PF00561.21
Aq_sp_Aq107_00061,PF05525.14
Aq_sp_Aq107_00062,PF03150.15
Aq_sp_Aq107_00063,PF00903.26
Aq_sp_Aq107_00064,PF05195.17
Aq_sp_Aq107_00065,PF02012.21
Aq_sp_Aq107_00066,PF01590.27
Aq_sp_Aq107_00067,PF02518.27
Aq_sp_Aq107_00068,PF01590.27
Aq_sp_Aq107_00069,PF00041.22
Aq_sp_Aq107_00070,PF00515.29
Aq_sp_Aq107_00073,PF01344.26
Aq_sp_Aq107_00074,PF01551.23
Aq_sp_Aq107_00076,PF04402.15
Aq_sp_Aq107_00078,PF09414.11
Aq_sp_Aq107_00082,PF01391.19
Aq_sp_Aq107_00086,PF18962.1
Aq_sp_Aq107_00087,PF11026.9
Aq_sp_Aq107_00088,PF02518.27
Aq_sp_Aq107_00089,PF00072.25
Aq_sp_Aq107_00090,PF03328.15
Aq_sp_Aq107_00092,PF00035.27
Aq_sp_Aq107_00093,PF00109.27
Aq_sp_Aq107_00094,PF00550.26
Aq_sp_Aq107_00095,PF00551.20
Aq_sp_Aq107_00096,PF01693.17
Aq_sp_Aq107_00097,PF01400.25
Aq_sp_Aq107_00098,PF01400.25
Aq_sp_Aq107_00099,PF00294.25
Aq_sp_Aq107_00100,PF13522.7
Aq_sp_Aq107_00101,PF02777.19
Aq_sp_Aq107_00102,PF13245.7
Aq_sp_Aq107_00103,PF00691.21
Aq_sp_Aq107_00104,PF12705.8
Aq_sp_Aq107_00105,PF00561.21
Aq_sp_Aq107_00106,PF13715.7
Aq_sp_Aq107_00108,PF12833.8
Aq_sp_Aq107_00111,PF02782.17
Aq_sp_Aq107_00112,PF01261.25
Aq_sp_Aq107_00113,PF01263.21
Aq_sp_Aq107_00114,PF00356.22
Aq_sp_Aq107_00115,GH11
Aq_sp_Aq107_00116,PF03781.17
Aq_sp_Aq107_00117,PF00474.18
Aq_sp_Aq107_00118,PF02518.27
Aq_sp_Aq107_00119,GH3
Aq_sp_Aq107_00120,PF13715.7
Aq_sp_Aq107_00121,PF12771.8
Aq_sp_Aq107_00123,GH10
Aq_sp_Aq107_00124,GCBM36+CBM6+GH8
Aq_sp_Aq107_00125,PF04397.16
Aq_sp_Aq107_00126,PF13424.7
Aq_sp_Aq107_00127,PF01400.25
Aq_sp_Aq107_00129,PF18962.1
Aq_sp_Aq107_00130,PF18885.1
Aq_sp_Aq107_00131,PF00027.30
Aq_sp_Aq107_00132,PL9
Aq_sp_Aq107_00134,PF13229.7
Aq_sp_Aq107_00135,PF16841.6
Aq_sp_Aq107_00136,PF00582.27
Aq_sp_Aq107_00137,PF00583.26
Aq_sp_Aq107_00138,PF01554.19
Aq_sp_Aq107_00139,PF00378.21
Aq_sp_Aq107_00140,PF01242.20
Aq_sp_Aq107_00141,PF00149.29
Aq_sp_Aq107_00142,PF17957.2
Aq_sp_Aq107_00143,PF13304.7
Aq_sp_Aq107_00144,PF00326.22
Aq_sp_Aq107_00145,PF07681.13
Aq_sp_Aq107_00146,PF00246.25
Aq_sp_Aq107_00147,PF01118.25
Aq_sp_Aq107_00148,PF01741.19
Aq_sp_Aq107_00149,PF00842.22
Aq_sp_Aq107_00150,PF00265.19
Aq_sp_Aq107_00152,PF13564.7
Aq_sp_Aq107_00153,PF00590.21
Aq_sp_Aq107_00154,PF08888.12
Aq_sp_Aq107_00155,PF13398.7
Aq_sp_Aq107_00159,PF02518.27
Aq_sp_Aq107_00160,PF00196.20
Aq_sp_Aq107_00161,PF02627.21
Aq_sp_Aq107_00162,PF01368.21
Aq_sp_Aq107_00163,PF00561.21
Aq_sp_Aq107_00166,PF00775.22
Aq_sp_Aq107_00167,GT51
Aq_sp_Aq107_00168,PF01266.25
Aq_sp_Aq107_00169,PF02222.23
Aq_sp_Aq107_00170,PF00364.23
Aq_sp_Aq107_00171,PF08545.11
Aq_sp_Aq107_00172,PF02620.18
Aq_sp_Aq107_00173,PF04166.13
Aq_sp_Aq107_00174,PF00677.18
Aq_sp_Aq107_00176,PF13715.7
Aq_sp_Aq107_00177,PF13715.7
Aq_sp_Aq107_00178,PF00144.25
Aq_sp_Aq107_00179,PF00023.31
Aq_sp_Aq107_00180,PF06580.14
Aq_sp_Aq107_00181,PF04397.16
Aq_sp_Aq107_00182,PF00903.26
Aq_sp_Aq107_00183,PF02033.19
Aq_sp_Aq107_00184,PF02687.22
Aq_sp_Aq107_00185,PF01207.18
Aq_sp_Aq107_00187,PF13175.7
Aq_sp_Aq107_00188,PF00679.25
Aq_sp_Aq107_00189,PF12710.8
Aq_sp_Aq107_00190,PF01894.18
Aq_sp_Aq107_00192,PF13715.7
Aq_sp_Aq107_00193,PF00342.20
Aq_sp_Aq107_00194,PF01551.23
Aq_sp_Aq107_00195,PF03301.14
Aq_sp_Aq107_00196,PF11306.9
Aq_sp_Aq107_00197,PF00903.26
Aq_sp_Aq107_00198,PF07883.12
Aq_sp_Aq107_00199,PF19143.1
Aq_sp_Aq107_00200,PF01541.25
Aq_sp_Aq107_00201,PF05618.12
Aq_sp_Aq107_00202,PF02655.15
Aq_sp_Aq107_00203,PF04952.15
Aq_sp_Aq107_00204,PF01812.21
Aq_sp_Aq107_00205,PF01252.19
Aq_sp_Aq107_00207,PF13349.7
Aq_sp_Aq107_00208,PF13349.7
Aq_sp_Aq107_00209,PF13646.7
Aq_sp_Aq107_00210,PF04542.15
Aq_sp_Aq107_00211,PF01258.18
