row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq349_00003,COG1280,,K05834,PF01810.19
Aq_sp_Aq349_00004,COG3275,,,PF06580.14
Aq_sp_Aq349_00005,COG3279,,K07705,PF04397.16
Aq_sp_Aq349_00007,COG2819,,,PF00756.21
Aq_sp_Aq349_00008,COG2819,,,PF00756.21
Aq_sp_Aq349_00009,COG0331,,K00645,PF00698.22
Aq_sp_Aq349_00010,,,,PF13505.7
Aq_sp_Aq349_00011,COG3001,,,PF01636.24
Aq_sp_Aq349_00012,COG0262,,,PF13239.7
Aq_sp_Aq349_00013,COG0520,,,PF00266.20
Aq_sp_Aq349_00014,,,,PF16561.6
Aq_sp_Aq349_00015,COG2343,,,PF04248.13
Aq_sp_Aq349_00016,COG4301,,K18911,PF10017.10
Aq_sp_Aq349_00017,COG1262,,K18912,PF12867.8
Aq_sp_Aq349_00018,COG0810,,,PF03544.15
Aq_sp_Aq349_00019,COG0207,,K00560,PF00303.20
Aq_sp_Aq349_00020,COG1972,,,PF07670.15
Aq_sp_Aq349_00021,COG1259,,,PF02577.15
Aq_sp_Aq349_00022,COG2025,,K22432,PF01012.22
Aq_sp_Aq349_00023,COG2086,,,PF01012.22
Aq_sp_Aq349_00024,COG0022,,,PF02780.21
Aq_sp_Aq349_00025,,,,PF13715.7
Aq_sp_Aq349_00026,COG0221,,K01507,PF00719.20
Aq_sp_Aq349_00028,COG3808,,K15987,PF03030.17
Aq_sp_Aq349_00029,COG4850,,,PF09949.10
Aq_sp_Aq349_00030,COG2932,,,PF12844.8
Aq_sp_Aq349_00031,COG2852,,,PF04480.13
Aq_sp_Aq349_00032,COG4277,,,PF04055.22
Aq_sp_Aq349_00033,,,,PF13566.7
Aq_sp_Aq349_00035,COG0778,,,PF00881.25
Aq_sp_Aq349_00036,COG2227,,,PF08241.13
Aq_sp_Aq349_00038,COG1357,,,PF00805.23
Aq_sp_Aq349_00040,COG1262,,K13444,PF03781.17
Aq_sp_Aq349_00041,,,,PF05147.14
Aq_sp_Aq349_00042,COG0249,,K03555,PF01624.21
