row_0,COG,CAZyme,KO,Pfam
Aq_sp_Aq135_00001,COG3397,GAA10+CBM73+CBM73,,PF00041.22
Aq_sp_Aq135_00002,,,,PF11751.9
Aq_sp_Aq135_00003,COG0694,,,PF08712.12
Aq_sp_Aq135_00004,COG3360,,,PF07311.13
Aq_sp_Aq135_00005,COG1331,,,PF13899.7
Aq_sp_Aq135_00007,COG1214,,K14742,PF00814.26
Aq_sp_Aq135_00008,COG1566,,K13888,PF00364.23
Aq_sp_Aq135_00009,COG1538,,,PF02321.19
Aq_sp_Aq135_00010,COG0845,,,PF00364.23
Aq_sp_Aq135_00011,COG0577,,,PF02687.22
Aq_sp_Aq135_00012,COG0577,,,PF02687.22
Aq_sp_Aq135_00013,COG1136,,K02003,PF13304.7
Aq_sp_Aq135_00014,COG2322,,,PF10067.10
Aq_sp_Aq135_00015,COG1999,,,PF00578.22
Aq_sp_Aq135_00017,,,,PF03626.15
Aq_sp_Aq135_00018,COG1845,,,PF00510.19
Aq_sp_Aq135_00019,COG1845,,K02276,PF00510.19
Aq_sp_Aq135_00020,COG0109,,K02257,PF01040.19
Aq_sp_Aq135_00021,COG0491,,,PF00753.28
Aq_sp_Aq135_00022,,,,PF03544.15
Aq_sp_Aq135_00023,,,,PF03544.15
Aq_sp_Aq135_00024,COG5652,,,PF04892.13
Aq_sp_Aq135_00025,COG0509,,K02437,PF01597.20
Aq_sp_Aq135_00026,,,,PF14349.7
Aq_sp_Aq135_00027,COG0632,,K03550,PF00633.24
Aq_sp_Aq135_00028,COG0563,,K00939,PF13207.7
Aq_sp_Aq135_00029,COG0281,,K00029,PF00390.20
Aq_sp_Aq135_00030,COG1600,,K18979,PF08331.11
Aq_sp_Aq135_00031,COG0668,,,PF00924.19
Aq_sp_Aq135_00032,COG2124,,,PF00067.23
Aq_sp_Aq135_00033,COG2255,,K03551,PF00004.30
Aq_sp_Aq135_00034,COG0843,,K02274,PF00115.21
Aq_sp_Aq135_00035,COG1622,,,PF00116.21
Aq_sp_Aq135_00037,,,,PF13442.7
Aq_sp_Aq135_00038,,,,PF11821.9
Aq_sp_Aq135_00039,COG3743,,,PF03916.15
Aq_sp_Aq135_00040,COG0437,,,PF13247.7
Aq_sp_Aq135_00041,COG3474,,,PF14522.7
Aq_sp_Aq135_00043,COG0532,,,PF00009.28
Aq_sp_Aq135_00044,COG0195,,K02600,PF07650.18
Aq_sp_Aq135_00045,COG0779,,,PF02576.18
Aq_sp_Aq135_00046,COG0589,,,PF00582.27
Aq_sp_Aq135_00048,COG1402,,,PF02633.15
Aq_sp_Aq135_00049,,,,PF14298.7
Aq_sp_Aq135_00050,COG4206,,,PF13715.7
Aq_sp_Aq135_00052,COG1595,,,PF00196.20
Aq_sp_Aq135_00053,COG0318,,K05939,PF00501.29
Aq_sp_Aq135_00056,,,,PF11028.9
Aq_sp_Aq135_00057,COG0726,GCE4,K22278,PF01522.22
Aq_sp_Aq135_00058,COG3118,,,PF00085.21
Aq_sp_Aq135_00059,COG1408,,,PF00149.29
Aq_sp_Aq135_00060,COG0749,,K02335,PF01367.21
Aq_sp_Aq135_00061,,,,PF01391.19
Aq_sp_Aq135_00062,,,,PF01391.19
Aq_sp_Aq135_00063,COG1680,,,PF00144.25
Aq_sp_Aq135_00064,,GCBM9,,PF06452.12
Aq_sp_Aq135_00065,COG0102,,K02871,PF00572.19
Aq_sp_Aq135_00066,COG0103,,K02996,PF00380.20
Aq_sp_Aq135_00067,COG0052,,,PF00318.21
